#subject	order	variable	frenchUnity	englishUnity	frenchDescription	englishDescription
SafeCell	1	treeNitrogenCoarseRootDeepLitter	tN ha-1	tN ha-1	treeNitrogenCoarseRootDeepLitter	treeNitrogenCoarseRootDeepLitter
SafeCell	1	monthYield	t.ha-1	t.ha-1	Rendement mensuel moyen de la culture	month Crop yield
SafeCell	1	monthLai	m2.m-2	m2.m-2	month Lai	month Lai
SafeCell	1	monthEai	m2.m-2	m2.m-2	month Eai	month Eai
SafeCell	1	monthBiomass	t.ha-1	 t.ha-1	Biomasse mensuelle moyenne culture	month Crop biomass
SafeCell	1	monthDirectPar	moles.m-2	moles.m-2	month Direct Par	month Direct Par
SafeCell	1	monthDiffusePar	moles.m-2	moles.m-2	month Diffuse Par	month Diffuse Par
SafeCell	1	monthDirectParIntercepted	moles.m-2	moles.m-2	month Direct Par Intercepted	month Direct Par Intercepted
SafeCell	1	monthDiffuseParIntercepted	moles.m-2	moles.m-2	month Diffuse Par Intercepted	month Diffuse Par Intercepted
SafeCell	1	monthDirectParIncident	moles.m-2	moles.m-2	month Direct Par Incident	month Direct Par Incident
SafeCell	1	monthDiffuseParIncident	moles.m-2	moles.m-2	month Diffuse Par Incident	month Diffuse Par Incident
SafeCell	1	monthRelativeDirectParIncident	%	%	month Relative Direct Par Incident	month Relative Direct Par Incident
SafeCell	1	monthRelativeDiffuseParIncident	%	%	month Relative Diffuse Par Incident	month Relative Diffuse Par Incident
SafeCell	1	monthRelativeTotalParIncident	%	%	month Relative Total Par Incident	month Relative Total Par Incident
SafeCell	1	totalSoilEvaporation	mm	mm	Total evaporation du sol	Total evaporation
SafeCell	1	totalCapillaryRise	mm	mm	Total remontées capillaires	Total capillary rise
SafeCell	1	totalDrainageBottom	mm	mm	Total drainage bottom	Total drainage bottom
SafeCell	1	totalDrainageArtificial	mm	mm	Total drainage artificial	Total drainage artificial
SafeCell	1	totalIrrigation	mm	mm	Total irrigations	Total irrigations
SafeCell	1	totalRunOff	mm	mm	Total ruissellement	Total run off
SafeCell	1	totalSurfaceRunOff	mm	mm	Total ruissellement de surface	Total surface run off
SafeCell	1	totalWaterDemand	liters	liters	Total demande en eau 	Total water demad
SafeCell	1	totalWaterUptake	liters	liters	Total extraction en eau 	Total water uptake
