#subject	order	variable	frenchUnity	englishUnity	frenchDescription	englishDescription
SafePlot	1	waterUptakeInSaturationByMainCrop	mm	mm	WaterUptakeInSaturationByMainCrop	WaterUptakeInSaturationByMainCrop
SafePlot	1	waterUptakeInSaturationByInterCrop	mm	mm	WaterUptakeInSaturationByInterCrop	WaterUptakeInSaturationByInterCrop
SafePlot	1	waterAddedByWaterTable	liters	liters	Eau ajoutées dans les voxels par la nappe	water Added By Water Table	
SafePlot	1	nitrogenUptakeByMainCrop	kg N ha-1	kg N ha-1	NitrogenUptakeByMainCrop	NitrogenUptakeByMainCrop
SafePlot	1	nitrogenUptakeByInterCrop	kg N ha-1	kg N ha-1	NitrogenUptakeByInterCrop	NitrogenUptakeByInterCrop
SafePlot	1	nitrogenUptakeInSaturationByMainCrop	kg N ha-1	kg N ha-1	nitrogenUptakeInSaturationByMainCrop	nitrogenUptakeInSaturationByMainCrop
SafePlot	1	nitrogenUptakeInSaturationByInterCrop	kg N ha-1	kg N ha-1	nitrogenUptakeInSaturationByInterCrop	nitrogenUptakeInSaturationByInterCrop
SafePlot	1	mainCropTempStressLue	0-1	0-1	mainCropTempStressLue	mainCropTempStressLue
SafePlot	1	mainCropTempStressGrainFilling	0-1	0-1	mainCropTempStressGrainFilling	mainCropTempStressGrainFilling
SafePlot	1	mainCropFrostStressPlantDensity	0-1	0-1	mainCropFrostStressPlantDensity	mainCropFrostStressPlantDensity
SafePlot	1	mainCropFrostStressFoliage	0-1	0-1	mainCropFrostStressFoliage	mainCropFrostStressFoliage
SafePlot	1	mainCropFrostStressReprod	0-1	0-1	mainCropFrostStressReprod	mainCropFrostStressReprod
SafePlot	1	interCropTempStressLue	0-1	0-1	interCropTempStressLue	interCropTempStressLue
SafePlot	1	interCropTempStressGrainFilling	0-1	0-1	interCropTempStressGrainFilling	interCropTempStressGrainFilling
SafePlot	1	interCropFrostStressPlantDensity	0-1	0-1	interCropFrostStressPlantDensity	interCropFrostStressPlantDensity
SafePlot	1	interCropFrostStressFoliage	0-1	0-1	interCropFrostStressFoliage	interCropFrostStressFoliage
SafePlot	1	interCropFrostStressReprod	0-1	0-1	interCropFrostStressReprod	interCropFrostStressReprod
SafePlot	1	totalNitrogenResidus	kgN.ha-1	kgN.ha-1	totalnitrogenResidus	totalnitrogenResidus
SafePlot	1	totalCarbonResidus	kgC.ha-1	kgC.ha-1	totalcarbonResidus	totalcarbonResidus
SafePlot	1	totalTreeCarbonLeafLitter	tC ha-1	tC ha-1	totaltreeCarbonLeafLitter	totaltreeCarbonLeafLitter
SafePlot	1	totalTreeNitrogenLeafLitter	tN ha-1	tN ha-1	totaltreeNitrogenLeafLitter	totaltreeNitrogenLeafLitter
SafePlot	1	totalTreeCarbonFineRootLitter	tC ha-1	tC ha-1	totaltreeCarbonFineRootLitter	totaltreeCarbonFineRootLitter
SafePlot	1	totalTreeNitrogenFineRootLitter	tN ha-1	tN ha-1	totaltreeNitrogenFineRootLitter	totaltreeNitrogenFineRootLitter
SafePlot	1	totalTreeCarbonCoarseRootLitter	tC ha-1	tC ha-1	totaltreeCarbonCoarseRootLitter	totaltreeCarbonCoarseRootLitter
SafePlot	1	totalTreeNitrogenCoarseRootLitter	tN ha-1	tN ha-1	totaltreeNitrogenCoarseRootLitter	totaltreeNitrogenCoarseRootLitter
SafePlot	1	totalTreeCarbonFineRootDeepLitter	tC ha-1	tC ha-1	totaltreeCarbonFineRootDeepLitter	totaltreeCarbonFineRootDeepLitter
SafePlot	1	totalTreeNitrogenFineRootDeepLitter	tN ha-1	tN ha-1	totaltreeNitrogenFineRootDeepLitter	totaltreeNitrogenFineRootDeepLitter
SafePlot	1	totalTreeCarbonCoarseRootDeepLitter	tC ha-1	tC ha-1	totaltreeCarbonCoarseRootDeepLitter	totaltreeCarbonCoarseRootDeepLitter
SafePlot	1	totalTreeNitrogenCoarseRootDeepLitter	tN ha-1	tN ha-1	totaltreeNitrogenCoarseRootDeepLitter	totaltreeNitrogenCoarseRootDeepLitter
SafePlot	1	totalCarbonHumusStock	kg C ha-1	kg C ha-1	plot totalCarbonHumusStock	plot totalCarbonHumusStock
SafePlot	1	totalNitrogenHumusStock	kg N ha-1	kg N ha-1	plot totalNitrogenHumusStock	plot totalNitrogenHumusStock
SafePlot	1	activeNitrogenHumusStock	kg N ha-1	kg N ha-1	plot activeNitrogenHumusStock	plot activeNitrogenHumusStock
SafePlot	1	activeCarbonHumusStock	kg C ha-1	kg C ha-1	plot activeCarbonHumusStock	plot activeCarbonHumusStock
SafePlot	1	inactiveNitrogenHumusStock	kg N ha-1	kg N ha-1	plot inactiveNitrogenHumusStock	plot inactiveNitrogenHumusStock
SafePlot	1	inactiveCarbonHumusStock	kg C ha-1	kg C ha-1	plot inactiveCarbonHumusStock	plot inactiveCarbonHumusStock
SafePlot	1	annualWaterUptakeByTrees	mm	mm	annualWaterUptakeByTrees	annualWaterUptakeByTrees
SafePlot	1	annualWaterUptakeByMainCrop	mm	mm	annualWaterUptakeByMainCrop	annualWaterUptakeByMainCrop
SafePlot	1	annualWaterUptakeByInterCrop	mm	mm	annualWaterUptakeByInterCrop	annualWaterUptakeByInterCrop
SafePlot	1	annualNitrogenUptakeByTrees	kg N ha-1	kg N ha-1	annualNitrogenUptakeByTrees	annualNitrogenUptakeByTrees
SafePlot	1	annualNitrogenUptakeByMainCrop	kg N ha-1	kg N ha-1	annualNitrogenUptakeByMainCrop	annualNitrogenUptakeByMainCrop
SafePlot	1	annualNitrogenUptakeByInterCrop	kg N ha-1	kg N ha-1	annualNitrogenUptakeByInterCrop	annualNitrogenUptakeByInterCrop
SafePlot	1	annualWaterEvaporatedInMainCrop	mm	mm	annualWaterEvaporatedInMainCrop	annualWaterEvaporatedInMainCrop
SafePlot	1	annualWaterEvaporatedInInterCrop	mm	mm	annualWaterEvaporatedInInterCrop	annualWaterEvaporatedInInterCrop
SafePlot	1	annualRunOff	mm	mm	annualRunOff	annualRunOff
SafePlot	1	annualIrrigationInMainCrop	mm	mm	annual Irrigation in maincrop	annual Irrigation in maincrop
SafePlot	1	annualIrrigationInInterCrop	mm	mm	annual Irrigation in intercrop	annual Irrigation in intercrop
SafePlot	1	annualSurfaceRunOff	mm	mm	annualSurfaceRunOff	annualSurfaceRunOff
SafePlot	1	annualInterceptedRainByTrees	mm	mm	annualInterceptedRainByTrees	annualInterceptedRainByTrees
SafePlot	1	annualInterceptedRainByMainCrop	mm	mm	annualInterceptedRainByMainCrop	annualInterceptedRainByMainCrop	
SafePlot	1	annualInterceptedRainByInterCrop	mm	mm	annualInterceptedRainByInterCrops	annualInterceptedRainByInterCrops
SafePlot	1	annualDrainageBottom	mm	mm	annualDrainageBottom	annualDrainageBottom
SafePlot	1	annualDrainageArtificial	mm	mm	annualDrainageArtificial	annualDrainageArtificial
SafePlot	1	annualWaterUptakeInSaturationByTrees	mm	mm	annualWaterUptakeInSaturationByTrees	annualWaterUptakeInSaturationByTrees
SafePlot	1	annualWaterUptakeInSaturationByMainCrop	mm	mm	annualWaterUptakeInSaturationByMainCrop	annualWaterUptakeInSaturationByMainCrop
SafePlot	1	annualWaterUptakeInSaturationByInterCrop	mm	mm	annualWaterUptakeInSaturationByInterCrop	annualWaterUptakeInSaturationByInterCrop
SafePlot	1	annualParIncident	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Incident (annuel)	annualParIncident
SafePlot	1	annualParIncidentMainCrop	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Incident culture principale (annuel)	annualParIncidentMainCrop
SafePlot	1	annualParIncidentInterCrop	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Incident interculture (annuel)	annualParIncidentInterCrop
SafePlot	1	annualParInterceptedByTrees	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Intercepté par les arbres (annuel)	annualParInterceptedByTrees
SafePlot	1	annualParInterceptedByMainCrop	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Intercepté par culture principale (annuel)	annualParInterceptedByMainCrop
SafePlot	1	annualParInterceptedByInterCrop	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Intercepté par interculture (annuel)	annualParInterceptedByInterCrop
SafePlot	1	annualTreesCarbonBranches	kg	kg	annualTreesCarbonBranches	annualTreesCarbonBranches
SafePlot	1	annualTreesCarbonCoarseRoots	kg	kg	annualTreesCarbonCoarseRoots	annualTreesCarbonCoarseRoots
SafePlot	1	annualTreesCarbonFineRoots	kg	kg	annualTreesCarbonFineRoots	annualTreesCarbonFineRoots
SafePlot	1	annualTreesCarbonLabile	kg	kg	annualTreesCarbonLabile	annualTreesCarbonLabile
SafePlot	1	annualTreesCarbonStem	kg	kg	annualTreesCarbonStem	annualTreesCarbonStem
SafePlot	1	annualTreesCarbonStump	kg	kg	annualTreesCarbonStump	annualTreesCarbonStump
SafePlot	1	annualNitrogenRainInMainCrop	kg N ha-1	kg N ha-1	annual nitrogen Rain in main crop	annual nitrogen Rain in main crop
SafePlot	1	annualNitrogenIrrigationInMainCrop	kg N ha-1	kg N ha-1	annual nitrogen Irrigation in main crop	annual nitrogen Irrigation in main crop
SafePlot	1	annualNitrogenRainInInterCrop	kg N ha-1	kg N ha-1	annual nitrogen Rain in intercrop	annual nitrogen Rain in intercrop
SafePlot	1	annualNitrogenIrrigationInInterCrop	kg N ha-1	kg N ha-1	annual nitrogen Irrigation in intercrop	annual nitrogen Irrigation in intercrop
SafeVoxel	1	theta	m3 m-3	m3 m-3	Teneur en eau 	Water theta
SafeVoxel	2	thetaFineSoil	m3 m-3	m3 m-3	Teneur en eau terre fine 	Water theta in FineSoil
SafeVoxel	3	thetaStone	m3 m-3	m3 m-3	Teneur en eau cailloux 	Water theta in stones
SafeVoxel	4	waterPotentialTheta	cm	cm	potentiel hydrique du sol	soil water potential
SafeVoxel	5	waterPotentialThetaFineSoil	cm	cm	potentiel hydrique du sol terre fine	soil water potential in FineSoil
SafeVoxel	6	waterStock	litres	liters	Stock eau	Water stock
SafeVoxel	7	waterStockFineSoil	litres	liters	Stock eau terre fine	Water stock in FineSoil
SafeVoxel	8	nitrogenNh4Stock	g N 	g N 	Stock azote Nh4	ai-Nitrogen stock Nh4
SafeVoxel	9	nitrogenNo3Stock	g N 	g N 	Stock azote No3	aj-Nitrogen stock No3
SafeVoxel	10	mineralNitrogenStock	g N 	g N 	Stock azote No3+Nh4	aj-Nitrogen stock No3+Nh4
SafeVoxel	11	treeRootDensity	m m-3	m m-3	Densité de racines fines (arbre)	ak-Tree fine root density
SafeVoxel	12	totalTreeRootDensity	m m-3	m m-3	TOTAL Densité de racines fines (arbre)	ak-TOTALTree fine root density
SafeVoxel	13	treeWaterUptake	litres	liters	Eau extraite (arbre)	al-Tree water uptake
SafeVoxel	14	totalTreeWaterUptake	litres	liters	TOTAL Eau extraite (arbre)	al-TOTAL Tree water uptake
SafeVoxel	15	treeNitrogenUptake	g N 	g N 	Azote extraite (arbre)	am-Tree nitrogen uptake quantity
SafeVoxel	16	totalTreeNitrogenUptake	g N 	g N 	TOTAL Azote extraite (arbre)	am-TOTAL Tree nitrogen uptake quantity
SafeVoxel	17	cropRootDensity	m m-3	m m-3	Densité de racines (culture)	an-Crop root density
SafeVoxel	18	cropWaterUptake	litres	liters	Eau extraite (culture)	ao-Crop water uptake quantity
SafeVoxel	19	cropNitrogenUptake	g N 	g N 	Azote extraite (culture)	ap-Crop nitrogen uptake quantity
SafeVoxel	20	evaporation	litres	liters	Eau évaporée 	aq-Evaporation
SafeVoxel	21	isSaturated	-	-	Voxel saturé	as-Saturated voxel
SafeVoxel	22	saturationDuration	jours	days	Durée de la saturation	at-Saturation duration
SafeVoxel	25	fieldCapacity	m m-3	m m-3	Capacité au champs	Field capacity
SafeVoxel	26	fieldCapacityFineSoil	m m-3	m m-3	Capacité au champs terre fine	Field capacity in fine soil
SafeVoxel	27	fieldCapacityStone	m m-3	m m-3	Capacité au champs cailloux	Field capacity in stones
SafeVoxel	28	wiltingPoint	m m-3	m m-3	Point de fletrissement	WiltingPoint
SafeVoxel	29	wiltingPointFineSoil	m m-3	m m-3	Point de fletrissement terre fine	WiltingPoint in fine soil
SafeVoxel	30	wiltingPointStone	m m-3	m m-3	Point de fletrissement cailloux	WiltingPoint in stones
SafeVoxel	31	bulkDensity	m m-3	m m-3	bulkDensity	bulkDensity
SafeVoxel	32	bulkDensityFineSoil	m m-3	m m-3	bulkDensity terre fine	bulkDensity in FineSoil
SafeVoxel	33	volume	m3	m3	Volume	Volume
SafeVoxel	34	volumeFineSoil	m3	m3	Volume terre fine	Volume FineSoil
SafeVoxel	36	nitrogenRootResidu	g N 	g N 	nitrogenRootResidu		bk-nitrogenRootResidu
SafeVoxel	37	treeCarbonCoarseRootSen	Kg	Kg	tree carbonCoarseRootSen	bl-tree carbonCoarseRootSen
SafeVoxel	37	totalTreeCarbonCoarseRootSen	Kg	Kg	TOTAL tree carbonCoarseRootSen	bl-TOTAL tree carbonCoarseRootSen
SafeVoxel	38	treeNitrogenCoarseRootSen	Kg	Kg	tree nitrogenCoarseRootSen	bm-tree nitrogenCoarseRootSen
SafeVoxel	38	totalTreeNitrogenCoarseRootSen	Kg	Kg	TOTAL tree nitrogenCoarseRootSen	bm-TOTAL tree nitrogenCoarseRootSen
SafeVoxel	39	treeCarbonFineRootSen	Kg	Kg	tree carbonFineRootSen	bn-tree carbonFineRootSen
SafeVoxel	39	totalTreeCarbonFineRootSen	Kg	Kg	TOTAL tree carbonFineRootSen	bn-TOTAL tree carbonFineRootSen
SafeVoxel	40	treeNitrogenFineRootSen	Kg	Kg	nitrogenFineRootSen	bo-nitrogenFineRootSen
SafeVoxel	40	totalTreeNitrogenFineRootSen	Kg	Kg	TOTAL nitrogenFineRootSen	bo-TOTAL nitrogenFineRootSen
SafeVoxel	41	nitrogenCropResiduMineralisation	Kg	Kg	nitrogenCropResiduMineralisation	bp-nitrogenCropResiduMineralisation
SafeVoxel	42	nitrogenAvailableForBoth	g	g	nitrogenAvailableForBoth 	bq-nitrogenAvailableForBoth
SafeVoxel	43	nitrogenAvailableForTrees	g	g	nitrogenAvailableForTrees 	br-nitrogenAvailableForTrees
SafeVoxel	44	nitrogenAvailableForCrops	g	g	nitrogenAvailableForCrops 	bs-nitrogenAvailableForCrops
SafeVoxel	45	treeCoarseRootBiomass	kg C	kg C	Biomasse de racine de structure (arbre)	bt-Tree coarse root biomass
SafeVoxel	45	totalTreeCoarseRootBiomass	kg C	kg C	TOTAL Biomasse de racine de structure (arbre)	bt-TOTAL Tree coarse root biomass
SafeVoxel	45	colonisationDirection	-	-	Sens de colonisation	zz-Colonisation Direction
SafeVoxel	99	coefWater0	-	-	coefWater0	coefWater0
SafeVoxel	99	coefNitrogen0	-	-	coefNitrogen0	coefNitrogen0
SafeVoxel	99	coefCost0	-	-	coefCost0	coefCost0
SafeVoxel	99	coefWater1	-	-	coefWater1	coefWater1
SafeVoxel	99	coefNitrogen1	-	-	coefNitrogen1	coefNitrogen1
SafeVoxel	99	coefCost1	-	-	coefCost1	coefCost1
SafeVoxel	99	waterMark	-	-	waterMark	waterMark
SafeVoxel	99	nitrogenMark	-	-	nitrogenMark	nitrogenMark
SafeVoxel	99	costMark	-	-	costMark	costMark
SafeVoxel	99	totalMark	-	-	totalMark	totalMark
SafeVoxel	99	proportion	-	-	proportion	proportion
SafeVoxel	99	waterEfficiency	-	-	waterEfficiency	waterEfficiency
SafeVoxel	99	nitrogenEfficiency	-	-	nitrogenEfficiency	nitrogenEfficiency
SafeVoxel	99	fineRootCost	-	-	fineRootCost	fineRootCost
SafeVoxel	99	waterEfficiencyMax	-	-	waterEfficiencyMax	waterEfficiencyMax
SafeVoxel	99	nitrogenEfficiencyMax	-	-	nitrogenEfficiencyMax	nitrogenEfficiencyMax
SafeVoxel	99	fineRootCostMax	-	-	fineRootCostMax	fineRootCostMax
SafeVoxel	99	T1threshold	-	-	T1threshold	T1threshold
SafeVoxel	99	T2threshold	-	-	T2threshold	T2threshold
SafeVoxel	99	T3threshold	-	-	T3threshold	T3threshold
SafeVoxel	99	neighboursColonisedNumber	-	-	neighboursColonisedNumber	neighboursColonisedNumber
SafeVoxel	99	fineRootTotalInvestment	-	-	fineRootTotalInvestment	fineRootTotalInvestment
SafeVoxel	99	additionalRootToVoxel	-	-	additionalRootToVoxel	additionalRootToVoxel
SafeVoxel	99	voxelFilling	-	-	voxelFilling	voxelFilling
SafeVoxel	99	L0	-	-	L0	L0
SafeVoxel	99	L1	-	-	L1	L1
SafeVoxel	99	L2	-	-	L2	L2
SafeVoxel	99	Lmin	-	-	Lmin	Lmin
SafeVoxel	99	Lmax	-	-	Lmax	Lmax
SafeVoxel	99	phiPFSoil	-	-	phiPFSoil	phiPFSoil
SafeVoxel	99	phiPFCrop	-	-	phiPFCrop	phiPFCrop
SafeVoxel	99	waterAvailable	-	-	waterAvailable	waterAvailable
SafeVoxel	99	waterUptakePotential	-	-	waterUptakePotential	waterUptakePotential
SafeLayer	99	nbVoxels	-	-	Nombre de voxels	Voxel number
SafeLayer	99	layerVolume	m3	m3	Volume du layer	Layer volume
SafeLayer	99	bulkDensity	-	-	bulkDensity	bulkDensity
SafeLayer	99	fieldCapacity	-	-	Capacité au champs	fieldCapacity
SafeLayer	99	wiltingPoint	-	-	Point de fletrissement	wiltingPoint
SafeLayer	99	bulkDensityFineSoil	-	-	bulkDensity de la terre fine	bulkDensity of FineSoil
SafeLayer	99	fieldCapacityFineSoil	-	-	Capacité au champs de la terre fine	fieldCapacity of FineSoil
SafeLayer	99	wiltingPointFineSoil	-	-	Point de fletrissement de la terre fine	wiltingPoint of FineSoil
SafeLayer	99	layerWaterStock	l	l	Stock en eau	layer Water Stock	
SafeLayer	99	layerNitrogenNo3Stock	g	g	Stock en NitrogenNo3	layer NitrogenNo3 Stock
SafeLayer	99	layerNitrogenNh4Stock	g	g	Stock en NitrogenNh4	layer NitrogenNh4Stock
SafeLayer	99	layerEvaporation	l	l	Evaporation	layer Evaporation
SafeLayer	99	layerTreeRootDensity	m m-3	m m-3	Densité racines arbres	layer TreeRootDensity
SafeLayer	99	layerCropRootDensity	m m-3	m m-3	Densité racines de culture	layer CropRootDensity
SafeTree	1	age	d	d	Age de l'arbre	aa-TreeAge
SafeTree	1	dbh	cm	cm	Diamètre de l'arbre à hauteur de poitrine	aa-tree diameter at breast height
SafeTree	2	height	m	m	Hauteur de l'arbre	ab-tree height
SafeTree	3	rootingDepth	m	m	profondeur d'enracinement	ac-rooting depth
SafeTree	11	phenologicalStage	-	-	Stade phenologique	al-Phenological stage
SafeTree	7	lightCompetitionIndex	-	-	Indice de compétition pour la lumière entre arbres	ah-Index of between trees light competition
SafeTree	13	leafArea	m2	m2	Surface foliaire	an-Leaf area
SafeTree	52	leafAreaMax	m2	m2	Surface foliaire max	laiAboveCells
SafeTree	1	lai	m2.m-2	m2.m-2	Tree Lai	Tree Lai
SafeTree	52	laiAboveCells	m2 m-2	m2 m-2	laiAboveCells	ca-Leaf area max
SafeTree	48	crownBaseHeight	m	m	Hauteur de la base du houppier	bw-Crown base height
SafeTree	49	crownRadiusInterRow	m	m	Rayon du houppier dans le rang	bx-Crown radius inter row
SafeTree	50	crownRadiusTreeLine	m	m	Rayon du houppier sur la ligne d'arbres	by-Crown radius on tree line
SafeTree	51	crownRadiusVertical	m	m	Rayon du houppier vertical 	bz-Vertical crown radius
SafeTree	47	crownVolume	m3	m3	Volume du houppier	bv-Crown volume
SafeTree	47	nbCellsBellow	-	-	Nombre de cellule sous le houppier	nbCellsBellow
SafeTree	18	waterDemand	litres	liters	Demande en eau	as-Water demand
SafeTree	19	waterDemandReduced	litres	liters	Demande en eau (reduite campbell)	at-Water demand reduiced
SafeTree	20	waterUptake	litres	liters	Eau extraite	au-Water uptake
SafeTree	20	waterUptakeInSaturation	liters	liters	Eau extraite dans les voxels saturées 	Water uptake in saturated voxels
SafeTree	4	waterStress	 -	 -	Stress hydrique	ad-Water stress
SafeTree	35	nitrogenDemand	kg	kg	Azote demandée	bj-Nitrogen demand
SafeTree	36	nitrogenUptake	kg	kg	Azote extraite	bk-Nitrogen uptake
SafeTree	36	nitrogenUptakeInSaturation	kg	kg	Azote extraite dans les voxels saturées	bk-Nitrogen uptake in saturated voxels
SafeTree	8	nitrogenStress	 -	 -	Stress azoté	ai-Nitrogen Stress
SafeTree	99	nitrogenUptakeAnnual	kg	kg	Azote extraite anuelle	zz-Nitrogen uptake annual
SafeTree	33	aboveGroundCFraction	 -	 -	aboveGroundCFraction	bh-aboveGroundCFraction
SafeTree	21	actualWaterPotential	cm	cm	Potentiel arbre	av-tree potential
SafeTree	56	captureFactorForDiffusePar	m	m	captureFactorForDiffusePar	ce-captureFactorForDiffusePar
SafeTree	57	captureFactorForDirectPar	m	m	captureFactorForDirectPar	cf-captureFactorForDirectPar
SafeTree	58	captureFactorForDirectNir	m	m	captureFactorForDirectNir	cg-captureFactorForDirectNir
SafeTree	59	captureFactorForDiffuseNir	m	m	captureFactorForDiffuseNir	ch-captureFactorForDiffuseNir
SafeTree	34	carbonAboveGroundEff	-	-	efficience du carbone aérien	bi-above ground carbon efficency
SafeTree	22	carbonAllocToGrowth	kg c	kg c	CarbonAllocToGrowth	aw-CarbonAllocToGrowth
SafeTree	35	carbonBelowGroundEff	-	-	efficience du carbone souterrain	bj-below ground carbon efficiency
SafeTree	28	carbonFoliage	kg C	kg C	Pool carbone feuillage	bc-Carbon foliage pool
SafeTree	26	carbonBranches	kg C	kg C	Pool carbone branches	ba-Carbon branches pool
SafeTree	24	carbonStem	kg C	kg C	Pool carbone tige	ay-Carbon stem pool
SafeTree	25	carbonStump	kg C	kg C	Pool carbone souche	az-Carbon stump pool
SafeTree	25	carbonCoarseRoots	kg C	kg C	Pool carbone racines structure	az-Carbon coarse roots pool
SafeTree	27	carbonFineRoots	kg C	kg C	Pool carbone racines fines	bb-Carbon fine roots pool
SafeTree	29	carbonLabile	kg C	kg C	Pool carbone réserves	bd-Carbon labile pool
SafeTree	23	carbonIncrement	kg c	kg c	gain de carbone journalier	ax-carbone daily increment
SafeTree	28	carbonFoliageIncrement	kg C	kg C	Increment carbone feuillage	bc-Carbon foliage Increment
SafeTree	26	carbonBranchesIncrement	kg C	kg C	Increment carbone branches	ba-Carbon branches Increment
SafeTree	24	carbonStemIncrement	kg C	kg C	Increment carbone tige	ay-Carbon stem Increment
SafeTree	25	carbonStumpIncrement	kg C	kg C	Increment carbone souche	az-Carbon stump Increment
SafeTree	25	carbonCoarseRootsIncrement	kg C	kg C	Increment carbone racines structure	az-Carbon coarse roots Increment
SafeTree	30	carbonFineRootsIncrement	kg C	kg C	Increment carbone racines fines	be-Carbon fine roots Increment
SafeTree	31	carbonFineRootSen	kg C	kg C	Carbon senescent des racines fines	bf-Carbon fine roots daily senescent
SafeTree	31	carbonFineRootSenAnoxia	kg C	kg C	Carbon senescent (anoxie) des racines fines	bf-Carbon fine roots daily senescent by anoxia
SafeTree	32	carbonCoarseRootSen	kg C	kg C	Carbon senescent des racines structures	bg-Carbon coarse roots daily senescent
SafeTree	32	carbonCoarseRootSenAnoxia	kg C	kg C	Carbon senescent (anoxie) des racines structures	bg-Carbon coarse roots daily senescent by anoxia
SafeTree	99	carbonFoliageSen	kg C	kg C	carbonFoliageSenescence	zz-carbonFoliageSenescence
SafeTree	99	carbonFoliageMax	kg	kg	Pool carbone feuillage max	zz-Carbon foliage pool max
SafeTree	28	nitrogenFoliage	kg N	kg N	Pool azote feuillage	bc-Nitrogen foliage pool
SafeTree	26	nitrogenBranches	kg N	kg N	Pool azote branches	ba-Nitrogen branches pool
SafeTree	24	nitrogenStem	kg N	kg N	Pool azote tige	ay-Nitrogen stem pool
SafeTree	25	nitrogenStump	kg N	kg N	Pool azote souche	az-Nitrogen stump pool
SafeTree	25	nitrogenCoarseRoots	kg N	kg N	Pool azote racines structure	az-Nitrogen coarse roots pool
SafeTree	27	nitrogenFineRoots	kg N	kg N	Pool azote racines fines	bb-Nitrogen fine roots pool
SafeTree	29	nitrogenLabile	kg N	kg N	Pool azote réserves	bd-Nitrogen labile pool
SafeTree	99	nitrogenFoliageSen	kg N	kg N	nitrogenFoliageSenescence	zz-nitrogenFoliageSenescence
SafeTree	41	nitrogenCoarseRootSen	kg	kg	Azote senescent des racines structure	bp-Nitrogen coarse roots daily senescent
SafeTree	41	nitrogenCoarseRootSenAnoxia	kg	kg	Azote senescent (anoxie) des racines structure	bp-Nitrogen coarse roots daily senescent by anoxia
SafeTree	42	nitrogenFineRootSen	kg	kg	Azote senescent des racines fines	bq-Nitrogen fine roots daily senescent
SafeTree	42	nitrogenFineRootSenAnoxia	kg	kg	Azote senescent (anoxie) des racines fines	bq-Nitrogen fine roots daily senescent by anoxia
SafeTree	43	nitrogenSatisfaction	 -	 -	Nitrogen satisfaction	br-Nitrogen satisfaction
SafeTree	44	nitrogenSaturation	 -	 -	Nitrogen saturation	bs-Nitrogen saturation
SafeTree	99	nitrogenSinkStrength	 -	 - 	Azote foce de puit	zz-nitrogen Sink Strength
SafeTree	26	carbonBranchesExported	kg C	kg C	Pool carbone branches exportées	ba-Carbon branches pool exported
SafeTree	26	carbonFoliageExported	kg C	kg C	Pool carbone feuilles exportées	ba-Carbon foliage pool exported
SafeTree	26	carbonStemExported	kg C	kg C	Pool carbone tronc exportées	ba-Carbon stem pool exported
SafeTree	26	nitrogenBranchesExported	kg N	kg N	Pool azote branches exportées	ba-Nitrogen branches pool exported
SafeTree	26	nitrogenFoliageExported	kg N	kg N	Pool azote feuilles exportées	ba-Nitrogen foliage pool exported
SafeTree	26	nitrogenStemExported	kg N	kg N	Pool azote tronc exportées	ba-Nitrogen stem pool exported
SafeTree	15	diffuseParIntercepted	Moles	Moles	Rayonnement PAR diffus intercepté	ap-diffuse PAR intercepted
SafeTree	16	directParIntercepted	Moles	Moles	Rayonnement PAR direct intercepté	aq-direct PAR intercepted
SafeTree	99	evaporatedRain	l	liters	Eau de pluie évaporée	zz-Water evaporated rain
SafeTree	17	globalRadIntercepted	MJ	MJ	Rayonnement global intercepté (PAR + NIR)	ar-global radiation intercepted
SafeTree	99	interceptedRain	litres	liters	Eau de pluie interceptée	zz-Water intercepted rain
SafeTree	14	lfrRatio	-	-	ratio feuilles / racines fines	ao-leaf/fine roots ratio
SafeTree	36	nCBranches	kg	kg	N/C azote branches	bk-Nitrogen branches N/C 
SafeTree	37	nCCoarseRoots	kg	kg	N/C azote racines structure	bl-Nitrogen coarse roots N/C 
SafeTree	38	nCFineRoots	kg	kg	N/C azote racines fines	bm-Nitrogen fine roots N/C 
SafeTree	39	nCFoliage	kg	kg	N/C azote feuillage	bn-Nitrogen foliage N/C 
SafeTree	35	nCStem	kg	kg	N/C azote tige	bj-Nitrogen stem N/C
SafeTree	35	nCStump	kg	kg	N/C azote souche	bj-Nitrogen stump N/C
SafeTree	35	nCLabile	kg	kg	N/C azote reserve	bj-Nitrogen labile N/C
SafeTree	99	stemflow	litres	liters	Stemflow	zz-Stemflow
SafeTree	46	stemVolume	m3	m3	Volume de la tige	bu-Stem volume
SafeTree	47	stemYield	-	-	Rendement de la tige	bu-Stem yield
SafeTree	99	storedRain	litres	liters	Eau de pluie stockée	zz-Water stored rain
SafeTree	12	targetLfrRatio	-	-	ratio feuilles / racines fines cible	am-target leaf/fine roots ratio
SafeTree	45	totalOptiN	kg N	kg N	totalOptiN	bt-totalOptiN
SafeTree	53	totalRootLength	m	m	Longueur totale des racines fines	cb-Total fine root lenght
SafeTree	53	totalRootLength2	m	m	totalRootLength2	totalRootLength2
SafeTree	99	waterUptakeAnnual	litres	liters	Eau transpirée annuelle	zz-Water uptake annual
